   -0.467973064837499741E+01   -0.174743792825239019E+01    0.764539886530820922E+02    0.129642466684873216E+04    0.863597846925827639E-01    0.999579367823725473E+00   -0.287992350306656864E+01   -0.579987813940380104E+01   -0.755104949573182171E+01   -0.996793010239820632E+01   -0.581543262873180443E+06
   -0.469102977795296283E+01   -0.176113694550381794E+01    0.884785786159259544E+02    0.127896121706510257E+04    0.691119173476089088E-01    0.999023468947144222E+00   -0.281050337041754750E+01   -0.577641227389395340E+01   -0.754324899149518302E+01   -0.999297046890855967E+01   -0.581542551570968702E+06
   -0.473780863888527293E+01   -0.174249488523795115E+01    0.382792517908910668E+02    0.129072771000128569E+04    0.585490725828883285E-01    0.998951015270047371E+00   -0.535643165205388350E+00   -0.575847165948230799E+01   -0.756182596212124203E+01   -0.993865004606626989E+01   -0.581542220183106372E+06
   -0.473041065691050733E+01   -0.175508663459898440E+01    0.584510133288505287E+02    0.127773738453378064E+04    0.503496798246469979E-01    0.999586419012008731E+00   -0.328057032743852517E+01   -0.576660799199324181E+01   -0.754088284846211820E+01   -0.992480437134065596E+01   -0.581540545421399875E+06
   -0.470999648647284275E+01   -0.174547044810773144E+01    0.559836748600435143E+02    0.128901816280189678E+04    0.646935461195852213E-01    0.999290484995809081E+00   -0.368248028360536939E+00   -0.577333077779733372E+01   -0.756193647933542934E+01   -0.999636737540189024E+01   -0.581540541979000438E+06
   -0.471727256528238215E+01   -0.172828686696475131E+01    0.120163399829660037E+03    0.130114753618660893E+04    0.666045255726306351E-01    0.999436026210562822E+00    0.148406327501863444E+00   -0.575305089776556056E+01   -0.755094392622085397E+01   -0.997544172555100417E+01   -0.581540316274224431E+06
   -0.473011209026963009E+01   -0.171816724161426837E+01    0.921252179260496291E+02    0.131071810939337502E+04    0.687365292371691083E-01    0.999507493543047465E+00    0.245841334677399104E+00   -0.575361448541003107E+01   -0.755418917230514175E+01   -0.997781248513352104E+01   -0.581539843796483125E+06
   -0.466476102085194988E+01   -0.178513053833424884E+01    0.276184926453084856E+02    0.126097146009215885E+04    0.677813025408138259E-01    0.999330623596967227E+00   -0.162771322764732496E+01   -0.576665514970933391E+01   -0.755649441615391737E+01   -0.990788504466735631E+01   -0.581539803636367433E+06
   -0.469911236367265150E+01   -0.174878429066379404E+01    0.481383093482746887E+02    0.129022620507551756E+04    0.731538614915283603E-01    0.999570215378654758E+00   -0.371836334602547192E+01   -0.577497660728869011E+01   -0.754503747987223505E+01   -0.998799445442024236E+01   -0.581539520326249884E+06
   -0.470376119193412023E+01   -0.176107807376307068E+01    0.702106273165598367E+02    0.128208576870980460E+04    0.698902132526875164E-01    0.999008939724106648E+00   -0.217585221832426701E+01   -0.577981823669289163E+01   -0.755059501562080726E+01   -0.994302607825782303E+01   -0.581539482694174163E+06
