   -0.214300409261572700E+01    0.214311580016383019E+01    0.206215807056570895E+03    0.280500941260418131E+04    0.423026468792748922E+01    0.810182945277431177E-01   -0.490286734950351466E+00    0.263618897101819272E+01    0.490128800687808064E+00   -0.800094551686585653E+01
   -0.795781583103577717E+01   -0.329190887577229585E+01    0.726308242118353064E+03    0.241306833976756752E+04   -0.391974581608057537E+01   -0.430603575328053712E+00   -0.202416945526968295E+01    0.602981437429333411E+00    0.403695800753957723E+00   -0.698122922449305428E+01
   -0.792051890325174135E+01   -0.395803157757380664E+01    0.425097143534610439E+03    0.256895169139117297E+04   -0.841127641577322294E+01   -0.929766656110370571E+00   -0.917561896959749212E+00    0.242415960751258153E+00    0.573106440449829058E+00   -0.663537029661347333E+01
   -0.812763523134917421E+01   -0.553014082340608670E+01    0.768630316218543157E+03    0.242283956094789710E+04   -0.380335612609475504E+01    0.109779588500908964E-01   -0.302149144824912463E+01    0.224906013728594889E+01    0.533441663347177353E+00   -0.647305539377813677E+01
   -0.709120690822601318E+01   -0.356530880928039551E+01    0.409736394882202148E+03    0.243483430147171021E+04   -0.276108616590499878E+01   -0.241853117942810059E+00    0.135857820510864258E+00   -0.613790899515151978E+00    0.551169282197952248E+00   -0.625245627107208790E+01
   -0.327515990678362368E+01    0.588038669223353594E+01    0.137254490664097972E+03    0.254417104672984988E+04   -0.656885866853812139E+01    0.135555261412057204E+00   -0.802361460064855869E+00   -0.896885708754247890E+00    0.944757333645960595E+00   -0.620201020260184155E+01
   -0.344737544757532621E+01   -0.751079532764892477E+00    0.706013107566593931E+03    0.202066825075613497E+04    0.279201849666648982E+01    0.197991078831049716E+00   -0.134721519137224455E+01    0.831846104172095924E-01    0.254138157271971032E+00   -0.580733537362124252E+01
   -0.796977241896303390E+01   -0.425347517644014328E+01    0.430163995965295555E+03    0.264246558105641452E+04   -0.137878070002496855E+00    0.759725059733415975E-01   -0.865874317731686105E+00    0.104845997436819127E+01    0.979152223140492439E+00   -0.569286641577387797E+01
   -0.788068846727459782E+01   -0.904430889953892425E+00    0.197875953646806749E+03    0.239992521435075560E+04   -0.290664891311087459E+01    0.639521340129686866E+00   -0.181014161675117080E+01   -0.887412119894090190E+00    0.121385699835387229E+01   -0.558605545942573123E+01
   -0.189955174922943115E+01    0.442747664451599121E+01    0.419482767581939697E+03    0.200924670696258545E+04   -0.570033127069473267E+01   -0.397007942199707031E+00   -0.314772540330886841E+01    0.277401745319366455E+00    0.570432549715042092E+00   -0.495380681177177440E+01
