200             122             0               -3447986.939088593 0.08291433129045699
201             130             0               -62539.26071885251 0.0881884933842553
200             138             0               -7138.6477438348375 0.09134620302253299
202             134             0               -2940522.710279234 0.09156294624010722
200             200             0               -2105.0467887450104 0.266314115524292
200             200             0               -2115.9294598040437 0.2717740040355259
200             200             0               -71137.32742116424 0.27227222700913745
200             200             0               -2511.2869928972445 0.27743185857931774
400             400             0               -2718.8434387605244 0.40623701367113324
400             400             0               -7393.755284970938 0.4063814789719052
400             400             0               -2578.890525415059 0.4116040110588074
400             400             0               -2154.8256727436187 0.4164031766520606
600             600             0               -2153.3855916406637 0.5362961606846915
600             600             0               -2214.0560780307196 0.5410080206394196
600             600             0               -2089.0978465342437 0.5573992074860467
600             600             0               -2059.6218909687336 0.5620471530490452
800             800             0               -2145.9492771636533 0.6710210544533199
